codevac;codedossier;description;ordre;estb;esth;famille;image
2;3934;Chaise de bébé;355;0;0;17;119329.jpg
2;14413;Bibliothèque néo-gothique en bois naturel, à quatre étagères et deux vantaux, décor de lancettes, soufflets et mouchettes. Accidents et manques. ;387;0;0;17;119330.jpg
2;14418;TAPISSERIE mécanique dans le goût de la Renaissance;386;0;0;17;119331.jpg
2;9757;Tres fort lot de livres reliés et brochés dont histoire de l'art par André Michel, les oeuvres complète illustrées d'Anatole France, Jules Verne, Flaubert, Paul et Virginie etc.;385;0;0;17;119332.jpg
2;14418;GLACE de CHEMINEE à fronton en bois et stuque doré;384;0;0;17;119333.jpg
2;14418;GLACE de CHEMINEE en bois et stuque doré;383;0;0;17;119334.jpg
2;13548;MIROIR moderne. ;382;0;0;17;119335.jpg
2;14418;HORLOGE de PARQUET en bois naturel sculpté de fleurs et frises de perles.;317;80;100;17;119336.jpg
2;14418;MIROIR en stuque doré ajouré à décor de coquilles et de feuillages;318;0;0;17;119337.jpg
2;3661;VESTIAIRE en fer forgé noir à décor de volutes.;319;0;0;17;119338.jpg
2;3661;VESTIAIRE en bois naturel les montants cannelés.;320;0;0;17;119375.jpg
2;2468;TRUMEAU en bois doré à décor de guirlandes de fleurs et noeud de ruban;321;0;0;17;119376.jpg
2;291;HONNER Verdi II. Accordéon dans son étui;293;0;0;17;119252.jpg
2;291;Carton à dessin et son contenu de projets d'affiches;294;0;0;17;119253.jpg
2;3934;BUFFET BAS en bois laqué rouge et or à décor de paysage chinois. Travail Extreme Orient.;322;0;0;17;119254.jpg
2;291;Suite de six CHAISES en skaï orange en l'état;323;0;0;17;119424.jpg
2;13861;BIBLIOTHEQUE à deux portes vitrées en bois de placage.;325;0;0;17;119425.jpg
2;14234;SECRETAIRE à ABATTANT en bois de placage, fentes.;326;0;0;17;119426.jpg
2;14234;BUREAU à gradin en bois de placage et filets de bois clair en forme de piano.;327;0;0;17;119427.jpg
2;13861;Paire de CHAISES cannées style Louis XV (accident au cannage) joint au lot 325;324;0;0;17;119472.jpg
2;87;ECRAN en bois et bois de placage ajouré. Accidents;328;0;0;17;119473.jpg
2;14234;Suite de dix CHAISES laqué blanc garniture de velours rouge. Style Louis XVI.;329;0;0;17;119466.jpg
2;14234;FAUTEUIL garniture de cuir vert Style Louis XVI joint au lot 329;330;0;0;17;97916.jpg
2;291;PROJECTEUR quatre couleurs;377;0;0;17;97918.jpg
2;14234;BUREAU à gradin en bois naturel, le plateau foncé de cuir rouge;331;0;0;17;97919.jpg
2;291;Paire d'important PROJECTEURS en l'état.;379;0;0;17;119468.jpg
2;14641;LAUZERO. Le verger. Aquarelle;310;0;0;17;119631.jpg
2;14641;Jean VERCEL. Banc des sauvages. Aquarelle;309;0;0;17;119632.jpg
2;14234;CREIL et MONTEREAU Important CACHE-POT émaillé sur fond vert accident restauration;313;0;0;17;119272.jpg
2;13548;Lot de métal argenté comprenant un PLAT à HORS d'OEUVRE, une BANNETTE et un SHAKER  quelques accidents.;299;0;0;17;119273.jpg
2;87;MIROIR en bois doré fronton coquille;380;0;0;17;119274.jpg
2;87;GLOBE TERRESTRE par GIRARD, BARRERE Thomas en l'état.;298;0;0;17;119506.jpg
2;87;CIGOGNE en métal doré.;297;0;0;17;119467.jpg
2;87;Lot de PIECES ENCADREES dont reproductions Modigliani et une gravure. On y joint un plateau.;296;0;0;17;119483.jpg
2;87;CHIEN de FO en serpentine.;295;0;0;17;119485.jpg
2;14643;Lot de LIVRES dont un volume la pléiade Rabelais, et divers livres en l'état.;32;30;50;17;119486.jpg
2;14643;VASE en verre émaillé à décor floral.;312;50;80;17;119230.jpg
2;14643;SERVICE à CAFE en métal argenté Sheffield.;311;50;80;17;119255.jpg
2;14644;Lot comprenant deux COUVERTS à SALADE dont un en argent fourré, douze petites CUILLERS ERCUIS et douze CUILLERS à MOKA en métal à décor végétal.;314;0;0;17;119588.jpg
2;14644;"Curieuse CAVE à LIQUEUR en forme de bouteille 'Veuve Cliquot"", une LAMPE OBUS et on y joint un sujet bois humoristique";315;0;0;17;119305.jpg
2;14644;Lot de trois LAMPES à PETROLES dont une émaillée.;316;0;0;17;119306.jpg
2;13514;Paire de VASES Nankin. (Accidents);147;150;200;10;119602.jpg
2;13514;Important ENCRIER en marbre gris.;146;0;0;10;119308.jpg
2;1608;Un coffret à bijoux contenant un lot de montres. ;291;0;0;17;119309.jpg
2;952;Un coffret et son contenu de bibelots et bijoux fantaisie divers. ;290;0;0;17;119310.jpg
2;952;Un coffret et son contenu (bibelots divers, bijoux fantaisie). ;289;0;0;17;119311.jpg
2;952;Un coffret et son contenu avec boîte à cigarette en bois, boîtes à pilules, fume-cigarette, etc. ;288;0;0;17;119312.jpg
2;952;Une boîte et son contenu (bagues, objets en bois, boutons de manchette, poudriers, etc). ;287;0;0;17;119026.jpg
2;952;Une boîte à gants et son contenu. ;286;0;0;17;119275.jpg
2;14078;Petite travailleuse Napoleon III à deux tablettes;356;0;0;17;119277.jpg
2;13548;COMMODE SCRIBAN Style Louis XV on y joint un chevet;357;0;0;17;119278.jpg
2;14228;SALON comprenant un canapé, deux fauteuils et deux chaises de style Louis XVI. On y joint deux chaises. L'ensemble en l'état.;358;0;0;17;119281.jpg
2;14228;Meuble pour ménagère d'inspiration Louis XV.;359;0;0;17;119282.jpg
2;14078;BERGERE et deux FAUTEUILS de style Louis XVI dossier médaillon.;360;100;150;17;119283.jpg
2;3934;Important fauteuil d'inspiration Louis XV, la garniture bleue;361;0;0;17;119284.jpg
2;3934;Fauteuil en bois garniture de cuir. En l'état.;362;0;0;17;119285.jpg
2;13548;Paire de fauteuils crème style Louis XV tapisserie;363;0;0;17;119286.jpg
2;13548;Paire de tabourets style Louis XV;364;0;0;17;119339.jpg
2;13548;Paire de chaises dossier lyre style Louis XVI;365;0;0;17;119340.jpg
2;14418;FAUTEIL et CHAISE style Louis XV au modèle on y joint un FAUTEUIL style Louis XV;366;0;0;17;119341.jpg
2;14418;Paire de fauteuils style louis XV tapisserie;367;0;0;17;119342.jpg
2;14418;GLACE en bois doré;368;0;0;17;119343.jpg
2;14418;Colonne éclairante en marbre blanc;369;0;0;17;119344.jpg
2;14418;Deux chevets et une table basse ovale plateau marbre ;370;0;0;17;119345.jpg
2;14418;Petite table en form d'haricot plateau de marbre style Louis XVI;371;0;0;17;119603.jpg
2;14418;Table basse en bois tourné et plateau de verre;372;0;0;17;119347.jpg
2;14413;Ameublement de CHAMBRE a COUCHER en placage comprenant une armoire à glace et un lit. (manques au placage);373;0;0;17;119348.jpg
2;14413;Deux dessins de paysage vers 1870;307;0;0;17;119349.jpg
2;14413;Sujet en terre cuite figurant mère et enfant signé CIPRIANI Terre cuite d'Art.;306;0;0;17;119350.jpg
2;14413;M. RENARD. La lessive. Huile sur toile.;308;0;0;17;119351.jpg
2;14413;Paire de FAUTEUILS cabriolets style Louis XVI;374;0;0;17;119352.jpg
2;14413;Petit GUERIDON style Louis XVI dessus marbre;375;0;0;17;119353.jpg
2;14413;PESE PERSONNE en fonte en l'état annoté MB couronné;376;0;0;17;119354.jpg
2;291;Paire de petits PROJECTEURS en l'état.;378;0;0;17;119355.jpg
2;3934;Lot pour le bureau dont un porte-stylo DAUM.;117;0;0;17;119356.jpg
2;3934;Suite de quatre CARAFES en cristal de forme carrée. (très légères égrenures aux bouchons);116;0;0;17;119357.jpg
2;3934;Céramique d'Art d'Accolay. VASE vert craquelé.;115;0;0;17;119358.jpg
2;3934;Ensemble de salerons et sujets divers.;114;0;0;17;119604.jpg
2;3934;BACCARAT. Coeur en cristal bleu;113;0;0;17;119366.jpg
2;3934;SAINT-LOUIS. Sulfure à profil de Saint-Louis. SL 1767 1967;112;0;0;17;119367.jpg
2;3934;Paire de VASES boule à décor peint d'oiseaux et fleurs, percées pour l'électricité. Numérotées et marquées C K en creux.;111;0;0;17;119368.jpg
2;3934;"Max LE VERRIER. Coffret en bronze ""Course d'Héraklès Vers l'An 54""";110;0;0;17;119369.jpg
2;3934;COFFRET carré en bois Napoléon III;109;0;0;17;119256.jpg
2;3934;VASE en verre à patine peinte métalique et PICHET en verre et cuivre;108;0;0;17;119257.jpg
2;3934;LONGWY. Boîte en émaux cloisonnés;107;0;0;17;119260.jpg
2;3934;Paire de bougeoirs en bronze style Empire. Electrifiées;106;0;0;17;119261.jpg
2;3934;BACCARAT. Photophore en cristal.;105;0;0;17;119262.jpg
2;3934;Deux maquettes de bateaux en bois et métal.;104;100;120;17;119263.jpg
2;14234;PM TIGER. Au-delà de la grotte. Huile sur toile. joint au lot 165;166;0;0;17;119264.jpg
2;14234;Gaby Cuny. Pivoines blanches. Huile sur toile.;165;0;0;17;119265.jpg
2;14234;Applique lyre et pendeloques cristal;164;20;30;17;119266.jpg
2;14234;Creil et Montereau. ENCRIER en faience légers accidents;163;0;0;17;119267.jpg
2;14234;Plateau et pot couvert en faience, travail asiatique.;162;0;0;17;119268.jpg
2;14234;Verrerie de Monaco et Monte-Carlo. Service à Orangeade un pichet et huit verres;160;0;0;17;119269.jpg
2;14234;Curieuse cave à liqueur musical en forme de tacot;159;0;0;17;119270.jpg
2;14418;Lampe à poser en étain, coquille. ;176;0;0;17;119271.jpg
2;14418;Armoiries au petit point. ;175;20;30;17;119573.jpg
2;14418;J. Rieul, Bretonne nourissant les porcs, huile sur toile marouflée sur carton. ;174;0;0;17;119574.jpg
2;14418;Sujet en BISCUIT figurant un enfant à la lecture, la tête recollée. Pouvant être monté en lampe.;189;30;40;17;119575.jpg
2;14418;Suite de quatre MINIATURES;188;80;100;17;119576.jpg
2;14418;Tête de Christ de Vezelay, moulage du Louvres.;187;80;100;17;119577.jpg
2;14418;Paire de PLATS en faïence à décor polychrome de personnages en habits.;186;100;150;17;119578.jpg
2;14418;Jean-Claude TABURET. HB Quimper. Plat en faïence émaillée à décor de chouette;185;15;20;17;119579.jpg
2;14418;Paire de PANNEAUX en pierre de sel.;183;20;30;17;119580.jpg
2;14418;BOITE ronde en emaux cloisonnés à décor floral sur fond bleu.;182;30;33;17;119581.jpg
2;14418;Pile de livres dissimulant une CAVE à LIQUEUR;181;100;150;17;119582.jpg
